datetime,price,hour,action,soc,energy_delta,revenue
2025-09-16 19:00:00,324.7879416922739,19,DISCHARGE,0.0,-10.0,2923.0914752304648
2025-09-16 20:00:00,167.88780210959033,20,HOLD,0.0,0.0,0.0
2025-09-16 21:00:00,143.1208233844455,21,HOLD,0.0,0.0,0.0
2025-09-16 22:00:00,129.20857129709637,22,HOLD,0.0,0.0,0.0
2025-09-16 23:00:00,101.58858387487663,23,HOLD,0.0,0.0,0.0
2025-09-17 00:00:00,88.86764187071473,0,HOLD,0.0,0.0,0.0
2025-09-17 01:00:00,63.548467913878,1,HOLD,0.0,0.0,0.0
2025-09-17 02:00:00,51.001365149322794,2,HOLD,0.0,0.0,0.0
2025-09-17 03:00:00,47.25870857896648,3,HOLD,0.0,0.0,0.0
2025-09-17 04:00:00,58.609388341522525,4,HOLD,0.0,0.0,0.0
2025-09-17 05:00:00,97.60050720154614,5,HOLD,0.0,0.0,0.0
2025-09-17 06:00:00,121.02790119795688,6,HOLD,0.0,0.0,0.0
2025-09-17 07:00:00,126.86174156240574,7,HOLD,0.0,0.0,0.0
2025-09-17 08:00:00,112.63760142752696,8,HOLD,0.0,0.0,0.0
2025-09-17 09:00:00,93.699350148019,9,HOLD,0.0,0.0,0.0
2025-09-17 10:00:00,68.70229007633588,10,HOLD,0.0,0.0,0.0
2025-09-17 11:00:00,43.62853622247332,11,HOLD,0.0,0.0,0.0
2025-09-17 12:00:00,15.0217554695449,12,CHARGE,10.0,10.0,-150.217554695449
2025-09-17 13:00:00,13.600364039819413,13,CHARGE,20.0,10.0,-136.00364039819414
2025-09-17 14:00:00,15.098449251724332,14,CHARGE,30.0,10.0,-150.98449251724332
2025-09-17 15:00:00,47.62172581461579,15,HOLD,30.0,0.0,0.0
2025-09-17 16:00:00,85.69251928848622,16,DISCHARGE,20.0,-10.0,771.232673596376
2025-09-17 17:00:00,108.8182510749912,17,DISCHARGE,10.0,-10.0,979.3642596749207
2025-09-17 18:00:00,183.53844659300657,18,DISCHARGE,0.0,-10.0,1651.846019337059
2025-09-17 19:00:00,232.3003533026899,19,HOLD,0.0,0.0,0.0
2025-09-17 20:00:00,159.89119708768146,20,HOLD,0.0,0.0,0.0
2025-09-17 21:00:00,108.62907307894858,21,HOLD,0.0,0.0,0.0
2025-09-17 22:00:00,101.96182694814988,22,HOLD,0.0,0.0,0.0
2025-09-17 23:00:00,75.11900318534842,23,HOLD,0.0,0.0,0.0
2025-09-18 00:00:00,58.02140267814688,0,HOLD,0.0,0.0,0.0
2025-09-18 01:00:00,50.06058808792175,1,HOLD,0.0,0.0,0.0
